"skill","avg_salary"
"svn","400000.00"
"solidity","179000.00"
"couchbase","160515.00"
"datarobot","155485.50"
"golang","155000.00"
"mxnet","149000.00"
"dplyr","147633.33"
"vmware","147500.00"
"terraform","146733.83"
"twilio","138500.00"
"gitlab","134126.00"
"kafka","129999.16"
"puppet","129820.00"
"keras","127013.33"
"pytorch","125226.20"
"perl","124685.75"
"ansible","124370.00"
"hugging face","123950.00"
"tensorflow","120646.83"
"cassandra","118406.68"
"notion","118091.67"
"atlassian","117965.60"
"bitbucket","116711.75"
"airflow","116387.26"
"scala","115479.53"
"linux","114883.20"
"confluence","114153.12"
"pyspark","114057.87"
"mongodb","113607.71"
"aurora","113393.90"
"cordova","113269.50"
"gcp","113065.48"
"spark","113001.94"
"splunk","112927.60"
"databricks","112880.74"
"unify","112317.44"
"git","112249.64"
"dynamodb","111840.00"
"snowflake","111577.72"
"shell","111496.45"
"electron","111175.00"
"unix","111123.32"
"hadoop","110888.27"
"pandas","110767.07"
"node.js","110230.38"
"phoenix","109259.09"
"php","109051.51"
"neo4j","108646.42"
"nosql","108331.04"
"express","108221.35"
"watson","108103.00"
"redshift","107968.80"
"jira","107931.30"
"rust","107925.00"
"elasticsearch","107815.75"
"no-sql","107405.33"
"numpy","107397.56"
"db2","107130.29"
"swift","107100.00"
"redis","107043.75"
"postgresql","106852.94"
"plotly","106602.86"
"aws","106439.84"
"c++","105695.51"
"alteryx","105579.57"
"azure","105399.62"
"gdpr","105328.92"
"bigquery","105237.60"
"bash","105074.72"
"powershell","105040.78"
"mongo","104274.25"
"scikit-learn","103932.15"
"looker","103855.35"
"jupyter","103522.46"
"ibm cloud","103312.50"
"kubernetes","103088.79"
"angular","102103.25"
"flask","101862.69"
"asp.net","101666.67"
"sqlite","101625.00"
"python","101511.85"
"github","101498.36"
"jenkins","101418.62"
"mysql","101381.40"
"visio","101035.82"
"oracle","100964.19"
"qlik","100932.78"
"java","100213.87"
"chainer","100000.00"
"theano","100000.00"
"matlab","99908.55"
"unity","99616.70"
"dax","99548.74"
"ggplot2","99415.75"
"matplotlib","99307.10"
"docker","99261.57"
"yarn","99150.00"
"seaborn","98747.83"
"c","98714.56"
"r","98707.80"
"django","98543.69"
"flow","98019.82"
"tableau","97978.08"
"node","97900.00"
"spring","97453.61"
"go","97266.97"
"c#","97247.74"
"ssis","97234.75"
"sql","96435.33"
"sql server","96191.42"
"mariadb","96000.00"
"jquery","95772.00"
"t-sql","95722.65"
"microstrategy","94485.56"
"vba","93844.97"
"sas","93707.36"
"webex","92500.00"
"sap","92446.21"
"power bi","92323.60"
"pascal","92000.00"
"javascript","91805.12"
"ssrs","91536.86"
"cognos","90407.22"
"airtable","90006.25"
"clickup","90000.00"
"zoom","89791.42"
"typescript","89323.10"
"unreal","89112.50"
"sharepoint","89027.16"
"react","88567.19"
"drupal","88328.20"
"powerpoint","88315.61"
"firebase","87500.00"
"crystal","87327.33"
"visual basic","86972.33"
"arch","86835.00"
"windows","86512.83"
"excel","86418.90"
"symphony","86266.67"
"microsoft teams","85570.03"
"assembly","85389.70"
"asana","85338.70"
"css","85317.07"
"spss","85292.80"
"ms access","84872.71"
"cobol","84744.75"
"html","84382.71"
"sheets","84129.61"
"terminal","83567.30"
"slack","83441.95"
"word","82940.76"
"chef","82825.00"
"selenium","82500.00"
"fortran","82500.00"
"ruby","80960.17"
"outlook","80680.33"
"monday.com","79000.00"
"spreadsheet","78465.89"
"planner","77039.12"
"workfront","76820.04"
"wrike","75000.00"
"julia","73680.00"
"npm","73418.75"
"dart","72673.83"
"erlang","72500.00"
"smartsheet","71221.46"
"tidyverse","70599.93"
"vb.net","69600.00"
"wire","68375.00"
"opencv","67818.00"
"sass","67698.50"
"colocation","67500.00"
"trello","65193.46"
"vue","65000.00"
"macos","57933.18"
"graphql","57009.33"
"ruby on rails","51059.00"
